Time (h)	GUR	mu
5.68	-1.413734543	0.205553226
5.69	-1.411187183	0.205125866
5.7	-1.408649266	0.204699624
5.71	-1.406120742	0.204274496
5.72	-1.403601562	0.203850477
5.73	-1.401091677	0.203427564
5.74	-1.39859104	0.203005752
5.75	-1.396099602	0.202585036
5.76	-1.393617315	0.202165413
5.77	-1.391144132	0.201746878
5.78	-1.388680005	0.201329426
5.79	-1.386224889	0.200913054
5.8	-1.383778737	0.200497758
5.81	-1.381341502	0.200083533
5.82	-1.378913138	0.199670375
5.83	-1.376493601	0.19925828
5.84	-1.374082844	0.198847244
5.85	-1.371680823	0.198437262
5.86	-1.369287493	0.198028331
5.87	-1.36690281	0.197620447
5.88	-1.364526729	0.197213606
5.89	-1.362159206	0.196807803
5.9	-1.359800199	0.196403035
5.91	-1.357449663	0.195999297
5.92	-1.355107556	0.195596586
5.93	-1.352773835	0.195194898
5.94	-1.350448458	0.194794229
5.95	-1.348131381	0.194394574
5.96	-1.345822565	0.193995931
5.97	-1.343521966	0.193598295
5.98	-1.341229543	0.193201662
5.99	-1.338945255	0.192806029
6	-1.336669062	0.192411391
6.01	-1.334400923	0.192017746
6.02	-1.332140797	0.191625088
6.03	-1.329888644	0.191233415
6.04	-1.327644424	0.190842723
6.05	-1.325408098	0.190453008
6.06	-1.323179627	0.190064267
6.07	-1.320958971	0.189676494
6.08	-1.318746091	0.189289688
6.09	-1.316540949	0.188903845
6.1	-1.314343507	0.18851896
6.11	-1.312153726	0.18813503
6.12	-1.309971568	0.187752052
6.13	-1.307796996	0.187370022
6.14	-1.305629973	0.186988936
6.15	-1.30347046	0.186608791
6.16	-1.301318421	0.186229584
6.17	-1.29917382	0.18585131
6.18	-1.29703662	0.185473967
6.19	-1.294906784	0.185097551
6.2	-1.292784277	0.184722059
6.21	-1.290669062	0.184347486
6.22	-1.288561104	0.18397383
6.23	-1.286460368	0.183601088
6.24	-1.284366818	0.183229255
6.25	-1.28228042	0.182858329
6.26	-1.280201138	0.182488306
6.27	-1.278128939	0.182119183
6.28	-1.276063787	0.181750957
6.29	-1.274005649	0.181383624
6.3	-1.27195449	0.18101718
6.31	-1.269910278	0.180651623
6.32	-1.267872978	0.18028695
6.33	-1.265842557	0.179923157
6.34	-1.263818982	0.179560241
6.35	-1.261802221	0.179198199
6.36	-1.259792239	0.178837027
6.37	-1.257789006	0.178476722
6.38	-1.255792488	0.178117282
6.39	-1.253802654	0.177758703
6.4	-1.251819471	0.177400982
6.41	-1.249842908	0.177044115
6.42	-1.247872934	0.1766881
6.43	-1.245909516	0.176332934
6.44	-1.243952624	0.175978614
6.45	-1.242002226	0.175625136
6.46	-1.240058293	0.175272497
6.47	-1.238120793	0.174920695
6.48	-1.236189695	0.174569726
6.49	-1.234264971	0.174219587
6.5	-1.232346588	0.173870276
6.51	-1.230434519	0.17352179
6.52	-1.228528732	0.173174125
6.53	-1.226629198	0.172827278
6.54	-1.224735889	0.172481247
6.55	-1.222848774	0.172136028
6.56	-1.220967825	0.17179162
6.57	-1.219093013	0.171448018
6.58	-1.217224309	0.17110522
6.59	-1.215361685	0.170763224
6.6	-1.213505111	0.170422025
6.61	-1.211654561	0.170081622
6.62	-1.209810006	0.169742012
6.63	-1.207971419	0.169403191
6.64	-1.20613877	0.169065158
6.65	-1.204312034	0.168727909
6.66	-1.202491182	0.168391441
6.67	-1.200676188	0.168055751
6.68	-1.198867024	0.167720838
6.69	-1.197063663	0.167386698
6.7	-1.195266079	0.167053328
6.71	-1.193474245	0.166720727
6.72	-1.191688134	0.16638889
6.73	-1.189907721	0.166057815
6.74	-1.188132979	0.165727501
6.75	-1.186363882	0.165397943
6.76	-1.184600404	0.16506914
6.77	-1.18284252	0.164741088
6.78	-1.181090204	0.164413786
6.79	-1.179343431	0.16408723
6.8	-1.177602175	0.163761418
6.81	-1.175866411	0.163436347
6.82	-1.174136115	0.163112016
6.83	-1.172411261	0.16278842
6.84	-1.170691825	0.162465558
6.85	-1.168977782	0.162143427
6.86	-1.167269108	0.161822025
6.87	-1.165565779	0.161501348
6.88	-1.16386777	0.161181396
6.89	-1.162175057	0.160862164
6.9	-1.160487617	0.160543651
6.91	-1.158805426	0.160225854
6.92	-1.15712846	0.15990877
6.93	-1.155456696	0.159592398
6.94	-1.15379011	0.159276735
6.95	-1.15212868	0.158961777
6.96	-1.150472381	0.158647524
6.97	-1.148821192	0.158333972
6.98	-1.147175089	0.15802112
6.99	-1.14553405	0.157708964
7	-1.143898052	0.157397502
7.01	-1.142267073	0.157086732
7.02	-1.140641091	0.156776652
7.03	-1.139020082	0.156467259
7.04	-1.137404026	0.156158551
7.05	-1.135792899	0.155850526
7.06	-1.134186682	0.155543181
7.07	-1.13258535	0.155236514
7.08	-1.130988884	0.154930523
7.09	-1.129397262	0.154625205
7.1	-1.127810462	0.154320558
7.11	-1.126228463	0.154016581
7.12	-1.124651243	0.15371327
7.13	-1.123078783	0.153410623
7.14	-1.121511061	0.153108638
7.15	-1.119948056	0.152807314
7.16	-1.118389748	0.152506647
7.17	-1.116836116	0.152206636
7.18	-1.115287139	0.151907278
7.19	-1.113742798	0.151608571
7.2	-1.112203072	0.151310514
7.21	-1.110667941	0.151013103
7.22	-1.109137385	0.150716336
7.23	-1.107611384	0.150420213
7.24	-1.106089918	0.15012473
7.25	-1.104572969	0.149829885
7.26	-1.103060515	0.149535676
7.27	-1.101552538	0.149242101
7.28	-1.100049018	0.148949159
7.29	-1.098549937	0.148656846
7.3	-1.097055274	0.148365161
7.31	-1.095565011	0.148074102
7.32	-1.094079129	0.147783666
7.33	-1.092597609	0.147493852
